,name,price,img
66,Apple USB-C to Magsafe 3 Cable -2m (for 2021 MacBook Pro),"4,900",https://m.media-amazon.com/images/I/717Nmm8sXEL._AC_UY218_.jpg
67,"Apple Leather Case with MagSafe (for iPhone 12, 12 Pro) - Saddle Brown","5,900",https://m.media-amazon.com/images/I/81r9e3gsyYL._AC_UY218_.jpg
68,Apple fun 2 in 1 Sea Creatures & Fruits Glittering Amazing Sand Kit,423,https://m.media-amazon.com/images/I/81pi72DDkpL._AC_UY218_.jpg
69,"HALLSTATT High grade 6.5mm thickness acrylic, elegant look keyboard stand with Scratch-Free Protector, crystal clear keyboard stand comfortable grip for keyboard typing, keyboard stand for desktop",699,https://m.media-amazon.com/images/I/312S+vuB7NL._AC_UY218_.jpg
70,Apple Pump Single Phase Horizontal OPENWELL Submersible Pumps,"17,999",https://m.media-amazon.com/images/I/21BQUKCDwJL._AC_UY218_.jpg
71,"Beats Flex Wireless Earphones – Apple W1 Headphone Chip, Magnetic Earbuds, Class 1 Bluetooth, 12 Hours of Listening Time, Built-in Microphone - Black","4,460",https://m.media-amazon.com/images/I/61rFK7dfbUL._AC_UY218_.jpg
72,Black Apple Stylishly Handcrafted Comfortable Men's Tan Formal Shoes PU Leather and Sweat Absorbing Comforter.,"1,099",https://m.media-amazon.com/images/I/41dNvImlaZL._AC_UY218_.jpg
73,"Beats Flex Wireless Earphones – Apple W1 Headphone Chip, Magnetic Earbuds, Class 1 Bluetooth, 12 Hours of Listening Time, Built-in Microphone - Grey","4,499",https://m.media-amazon.com/images/I/71PvN5ZJe2L._AC_UY218_.jpg
74,New Apple iPhone 12 Pro (128GB) - Graphite,"95,900",https://m.media-amazon.com/images/I/71YlH-4MUQL._AC_UY218_.jpg
75,Apple Lightning to SD Card Camera Reader,"2,200",https://m.media-amazon.com/images/I/41Yebb23I+L._AC_UY218_.jpg
76,Apple iPod Touch (128GB) - Blue (Latest Model),"29,600",https://m.media-amazon.com/images/I/61Rnl5vdjKL._AC_UY218_.jpg
77,"HEALTHY APPLE Masala (Pav Bhaji Masala, 150 Gm)",290,https://m.media-amazon.com/images/I/71JFeLk1PdL._AC_UY218_.jpg
78,"Apple Leather Case with MagSafe (for iPhone 12, 12 Pro) - Deep Violet","5,900",https://m.media-amazon.com/images/I/81wlb5eCrOS._AC_UY218_.jpg
79,Apple iPhone 11 (64GB) - Yellow,"47,900",https://m.media-amazon.com/images/I/714Mg+6MoFL._AC_UY218_.jpg
80,Apple Blossoms Reusable Baby Cloth Diapers-Combo Pack- 3 Pocket Style Diapers +6 Organic Cotton Inserts and Dry Feel (Multicolor),"1,100",https://m.media-amazon.com/images/I/51nvShc-M2L._AC_UY218_.jpg
81,"Apple Clear Case with Magsafe (for iPhone 12, 12 Pro)","4,900",https://m.media-amazon.com/images/I/71SajyozvNL._AC_UY218_.jpg
82,Apple iPhone XR (128GB) - Blue,"38,999",https://m.media-amazon.com/images/I/51n24DedexL._AC_UY218_.jpg
83,White Apple Smart Standard Multi-Purpose Laptop Table with Dock Stand/Study Table/Bed Table/Foldable and Portable/Ergonomic & Rounded Edges/Non-Slip Legs/Engineered,319,https://m.media-amazon.com/images/I/41fKN06qF8L._AC_UY218_.jpg
84,Apple Leather Case with MagSafe (for iPhone 13 Pro) - Golden Brown,"5,500",https://m.media-amazon.com/images/I/81VID6nBSkL._AC_UY218_.jpg
85,Apple Leather Case with MagSafe (for iPhone 13) - Midnight,"5,500",https://m.media-amazon.com/images/I/81FUj+NRuLL._AC_UY218_.jpg
86,Apple Magic Keyboard with Touch ID - US English - Silver (for Mac with Apple Silicon Running macOS 11.4 or Later),"14,500",https://m.media-amazon.com/images/I/71vwNsgEi8L._AC_UY218_.jpg
87,"2020 Apple MacBook Pro (13.3-inch/33.78 cm, 16GB RAM, 1TB SSD, 2.0GHz Quad-core 10th-Generation Intel Core i5 Processor, Four Thunderbolt 3 Ports) - Silver","1,69,990",https://m.media-amazon.com/images/I/716R-UhEB+L._AC_UY218_.jpg
88,New Apple iPhone 12 Pro (256GB) - Pacific Blue,"1,02,900",https://m.media-amazon.com/images/I/71DVgBTdyLL._AC_UY218_.jpg
89,"2020 Apple MacBook Pro (13.3-inch/33.78 cm, 16GB RAM, 1TB SSD, 2.0GHz Quad-core 10th-Generation Intel Core i5 Processor, Four Thunderbolt 3 Ports) - Silver","1,69,990",https://m.media-amazon.com/images/I/716R-UhEB+L._AC_UY218_.jpg
90,Apple iPhone XR (64GB) - Yellow,"33,999",https://m.media-amazon.com/images/I/519Wcu07etL._AC_UY218_.jpg
